label,index,OBJECTID,YearBuilt1,HEIGHT,UseDescription,orientation,street_width,second_type,idx,building_reference
commercial_0,11254,11254,1973,3,Commercial,0.0,7.859999999999994,Commerce,11254,7013203DG1071B
commercial_3,22459,22459,1965,3,Commercial,249.99999999999997,6.079999999999996,Commerce,22459,8022536DG1082B
commercial_0,26050,26050,1966,3,Commercial,260.0,9.74999999999999,Commerce,26050,8432729DG1083D
commercial_3,19949,19949,1900,3,Commercial,245.0,7.399999999999993,Commerce,19949,7814401DG1071B
commercial_2,32501,32501,1971,6,Commercial,24.999999999999996,31.21,Commerce,32501,9212050DG1091B
commercial_0,30404,30404,1950,3,Commercial,260.0,15.84999999999999,Commerce,30404,8832034DG1083D
commercial_0,11194,11194,1960,3,Commercial,90.0,9.929999999999994,Commerce,11194,7012314DG1071B
commercial_4,25268,25268,1931,3,Commercial,230.0,29.72999999999999,Commerce,25268,8331453DG1083D
commercial_3,28282,28282,1950,3,Commercial,260.0,11.749999999999991,Commerce,28282,8633129DG1083D
commercial_0,28053,28053,1999,3,Commercial,49.99999999999999,55.699999999999996,Retail commerce,28053,8627601DG1082D
commercial_5,35330,35330,1960,3,Commercial,215.0,105.73999999999998,Commerce,35330,9436232DG1093D
commercial_3,101,101,1993,3,Commercial,129.99999999999997,15.259999999999987,Commerce,101,0017011DG2001A
commercial_2,31669,31669,1957,3,Commercial,349.99999999999994,7.05999999999999,Commerce,31669,9032004DG1093D
commercial_4,18567,18567,1998,3,Commercial,180.0,10.949999999999989,Retail commerce,18567,7636424DG1073D
commercial_3,23877,23877,1918,3,Commercial,280.0,17.49,Commerce,23877,8211115DG1081B
commercial_6,37365,37365,1998,6,Commercial,115.0,59.33,Commerce,37365,9838504DG1093D
commercial_3,28292,28292,1950,3,Commercial,79.99999999999999,11.909999999999991,Commerce,28292,8633204DG1083D
commercial_5,5839,5839,1970,3,Commercial,64.99999999999997,11.73,Commerce,5839,6318304DG1061B
commercial_0,30414,30414,1930,3,Commercial,349.99999999999994,7.969999999999989,Commerce,30414,8833104DG1083D
